num , site
18 ,"http://mementoweb.org/timemap/link/http://violentmetaphors.com/2014/03/25/parents-you-are-being-lied-to/"
0 ,"http://mementoweb.org/timemap/link/http://littlebits.cc/bitlab?utm_source=twitter&utm_medium=cpc&utm_content=lifestyle&utm_campaign=bitLab_existing"
7 ,"http://mementoweb.org/timemap/link/http://www.theatlantic.com/business/archive/2014/09/science-tells-you-how-many-minutes-should-you-take-a-break-for-work-17/380369/"
0 ,"http://mementoweb.org/timemap/link/http://www.theatlantic.com/features/archive/2014/09/why-i-hope-to-die-at-75/379329/?curator=MediaREDEF&utm_content=buffer7728c&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer"
0 ,"http://mementoweb.org/timemap/link/http://explore.noodle.com/post/97731214878/use-your-ability-to-slow-read-or-lose-your?utm_content=buffer03cd5&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer"
11 ,"http://mementoweb.org/timemap/link/http://theweek.com/article/index/268131/how-this-one-independent-candidate-from-kansas-could-end-up-ruling-the-senate"
3 ,"http://mementoweb.org/timemap/link/http://www.jwz.org/blog/2014/09/why-we-believe-apple/"
6 ,"http://mementoweb.org/timemap/link/http://www.thewire.com/national/2012/10/chart-says-war-drugs-isnt-working/57913/"
17 ,"http://mementoweb.org/timemap/link/http://www.economist.com/news/united-states/21614225-bright-foreigners-study-america-shame-they-cant-stay-coming-and-going"
0 ,"http://mementoweb.org/timemap/link/https://www.youtube.com/watch?v=1CLmfZtQLrA"
4 ,"http://mementoweb.org/timemap/link/http://govtechfund.com/"
7 ,"http://mementoweb.org/timemap/link/http://www.slate.com/articles/health_and_science/medical_examiner/2014/09/why_ebola_is_terrifying_and_dangerous_it_preys_on_family_caregiving_and.html"
0 ,"http://mementoweb.org/timemap/link/http://shop.oreilly.com/category/deals/ios.do?code=WKIOS8"
5 ,"http://mementoweb.org/timemap/link/http://grist.org/climate-energy/naomi-klein-is-right-unchecked-capitalism-will-destroy-civilization/"
0 ,"http://mementoweb.org/timemap/link/http://techcrunch.com/2014/09/19/patient-access-and-control-the-future-of-chronic-disease-management/?ncid=rss&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Techcrunch+%28TechCrunch%29"
4 ,"http://mementoweb.org/timemap/link/https://diy.org/skills/minecrafter"
0 ,"http://mementoweb.org/timemap/link/http://sunlightfoundation.com/blog/2014/09/19/sign-the-letter-open-u-s-state-legislative-data/"
0 ,"http://mementoweb.org/timemap/link/http://www.washingtonpost.com/national/health-science/study-suggests-sweeteners-could-contribute-to-obesity-and-diabetes/2014/09/17/c3c04ea6-3dc2-11e4-b03f-de718edeb92f_story.html"
0 ,"http://mementoweb.org/timemap/link/http://www.brainpickings.org/2013/05/20/bill-watterson-1990-kenyon-speech/?utm_content=buffer64e1d&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer"
0 ,"http://mementoweb.org/timemap/link/https://screendoor.dobt.co/opengov-foundation/free-law-innovation-fellowship-civic-hacking-on-the-d-c-council"
0 ,"http://mementoweb.org/timemap/link/https://blog.squareup.com/townsquare/posts/together-square-sellers-are-the-13th-largest-retailer-in-the-country"
0 ,"http://mementoweb.org/timemap/link/http://shop.oreilly.com/product/0636920035640.do?code=WKIOS8&cmp=tw-prog-books-videos-product-promo_swift_pocket_reference"
0 ,"http://mementoweb.org/timemap/link/http://www.vox.com/2014/9/18/6399999/childhood-mortality-map"
3 ,"http://mementoweb.org/timemap/link/http://www.electronista.com/articles/14/09/18/missing.language.suggests.apple.has.received.patriot.act.request/"
5 ,"http://mementoweb.org/timemap/link/http://www.greentechmedia.com/articles/read/an-airbnb-or-uber-for-the-electricity-grid"
0 ,"http://mementoweb.org/timemap/link/http://time.com/3394150/uber-military/?utm_content=buffer613c4&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer"
4 ,"http://mementoweb.org/timemap/link/http://trendsmap.com/v2/Lf62/w"
3 ,"http://mementoweb.org/timemap/link/https://firstlook.org/theintercept/2014/09/18/clapper-denies-lying-announces-new-ethics-policy/"
0 ,"http://mementoweb.org/timemap/link/http://www.vox.com/2014/9/18/6111457/example-good-police-relations-cops-killing-outreach-culture-training"
0 ,"http://mementoweb.org/timemap/link/https://www.conference-board.org/press/pressdetail.cfm?pressid=5266"
3 ,"http://mementoweb.org/timemap/link/http://www.technologyreview.com/qa/530901/technology-stalled-in-1970/"
0 ,"http://mementoweb.org/timemap/link/http://radar.oreilly.com/2014/09/working-like-a-startup-at-ibm.html"
4 ,"http://mementoweb.org/timemap/link/http://fortune.com/2014/09/12/how-third-world-tech-can-help-the-u-s/"
0 ,"http://mementoweb.org/timemap/link/http://www.usatoday.com/story/news/world/2014/09/17/king-richard-iii-skeletal-remains/15769935/"
0 ,"http://mementoweb.org/timemap/link/https://vine.co/v/OWMYLzpDVpj"
3 ,"http://mementoweb.org/timemap/link/http://www.slideshare.net/timoreilly/by-people-for-people-39200380"
0 ,"http://mementoweb.org/timemap/link/http://www.oreilly.com/webops-perf/free/building-devops-culture.csp"
0 ,"http://mementoweb.org/timemap/link/http://velocityconf.com/velocityny2014/public/schedule/detail/37891"
0 ,"http://mementoweb.org/timemap/link/http://shop.oreilly.com/product/mobile/9780596007836.do"
13 ,"http://mementoweb.org/timemap/link/http://velocityconf.com/velocityny2014"
4 ,"http://mementoweb.org/timemap/link/http://techcrunch.com/2014/09/16/fastly-growing-quickly-snags-40m-as-vcs-give-generously/"
0 ,"http://mementoweb.org/timemap/link/http://shop.oreilly.com/product/9780123877932.do?cmp=tw-na-books-videos-product-dod_daily_tweet&code=DEAL"
0 ,"http://mementoweb.org/timemap/link/http://www.theguardian.com/politics/commentisfree/2014/sep/16/-sp-is-this-the-end-of-britishness?CMP=twt_gu"
1002 ,"http://mementoweb.org/timemap/link/https://www.healthcare.gov/"
4 ,"http://mementoweb.org/timemap/link/http://www.engadget.com/2014/09/15/us-fines-would-have-destroyed-yahoo/"
0 ,"http://mementoweb.org/timemap/link/http://velocityconf.com/velocityny2014/public/content/video"
0 ,"http://mementoweb.org/timemap/link/http://velocityconf.com/velocityny2014/public/schedule/detail/37789?cmp=tw-velocity-confsched-info-vlny14_sessions"
3 ,"http://mementoweb.org/timemap/link/http://www.washingtonpost.com/blogs/the-switch/wp/2014/09/15/a-23-million-venture-fund-for-the-government-tech-set/"
8 ,"http://mementoweb.org/timemap/link/http://www.theguardian.com/politics/2014/sep/15/bob-geldof-scottish-voters-not-break-up-family"
0 ,"http://mementoweb.org/timemap/link/http://www.statetechmagazine.com/article/2014/08/meet-los-angeless-first-chief-data-officer"
0 ,"http://mementoweb.org/timemap/link/http://makezine.com/2014/09/15/orlandos-maker-magic/"
42 ,"http://mementoweb.org/timemap/link/http://www.oreilly.com/dataweek/"
0 ,"http://mementoweb.org/timemap/link/https://www.swarmapp.com/timoreilly/checkin/54176ac5498ea150c12ba4d1?s=XfEa9AJSTBkXLtI8N7LzzGsEPgA&ref=tw"
0 ,"http://mementoweb.org/timemap/link/http://www.technologyreview.com/news/530671/smartphone-movements-could-reveal-empty-parking-spots/"
0 ,"http://mementoweb.org/timemap/link/http://www.meetup.com/CoreOS-London/events/206814132/"
3 ,"http://mementoweb.org/timemap/link/http://www.codeforamerica.org/blog/2014/09/15/govtech-fund-launch/"
0 ,"http://mementoweb.org/timemap/link/https://peerj.com/articles/562/"
0 ,"http://mementoweb.org/timemap/link/https://plus.google.com/+TimOReilly/posts/WySK63oPskZ"
0 ,"http://mementoweb.org/timemap/link/http://pastebin.com/raw.php?i=n1qTeikM"
0 ,"http://mementoweb.org/timemap/link/http://www.oreilly.com/pub/e/3176?cmp=tw-strata-webcast-lp-stny14_3176"
7 ,"http://mementoweb.org/timemap/link/http://techcrunch.com/2014/09/13/twitters-huge-mistake/"
10 ,"http://mementoweb.org/timemap/link/http://www.citylab.com/cityfixer/2014/09/why-the-people-in-charge-of-transit-systems-should-be-required-to-actually-ride-transit/379931/"
0 ,"http://mementoweb.org/timemap/link/http://www.govtech.com/state/Mike-Powell-op-ed.html"
0 ,"http://mementoweb.org/timemap/link/http://www.govtech.com/applications/Oakland-Earthquake-App-Underscores-Vulnerable-Housing.html"
19 ,"http://mementoweb.org/timemap/link/http://shop.oreilly.com/product/0636920030584.do"
0 ,"http://mementoweb.org/timemap/link/http://m.theatlantic.com/business/archive/2014/09/publishers-gave-away-122951031-books-during-world-war-ii/379893/"
0 ,"http://mementoweb.org/timemap/link/http://radar.oreilly.com/2014/09/understanding-network-neutrality.html?cmp=tw-radar-na-article-na_70591"
23 ,"http://mementoweb.org/timemap/link/http://pressurenet.io/"
5 ,"http://mementoweb.org/timemap/link/http://boingboing.net/2014/09/10/catalan-separatists-plan-large.html"
3 ,"http://mementoweb.org/timemap/link/https://medium.com/@lizcastro/5-reasons-catalonia-should-be-on-your-radar-248fa856f6de"
0 ,"http://mementoweb.org/timemap/link/http://www.digitalbydefaultnews.co.uk/2014/09/10/delivering-government-as-a-platform-video/?utm_source=twitter&utm_medium=&utm_campaign=increase_traffic"
0 ,"http://mementoweb.org/timemap/link/http://radar.oreilly.com/2014/09/understanding-network-neutrality.html"
0 ,"http://mementoweb.org/timemap/link/http://shop.oreilly.com/product/9780596809614.do?cmp=tw-na-books-videos-product-dow_weekly_deal_tweet&code=VDWK"
3 ,"http://mementoweb.org/timemap/link/http://www.vox.com/2014/9/9/6121503/obama-isis-speech-honest"
0 ,"http://mementoweb.org/timemap/link/http://ilp.mit.edu/conference.jsp?confid=93&tabname=agenda"
0 ,"http://mementoweb.org/timemap/link/https://www.youtube.com/watch?v=DbplLXRQquI"
3 ,"http://mementoweb.org/timemap/link/http://www.washingtonpost.com/blogs/the-fix/wp/2014/09/10/andrew-cuomo-spent-almost-40-times-as-much-for-his-votes-as-zephyr-teachout/"
0 ,"http://mementoweb.org/timemap/link/http://www.eventbrite.com/e/east-bay-mini-maker-faire-2014-tickets-12676903961"
38 ,"http://mementoweb.org/timemap/link/http://www.bbc.com/news/science-environment-29115845"
27 ,"http://mementoweb.org/timemap/link/http://www.theguardian.com/membership/2014/sep/10/-sp-guardian-editor-alan-rusbridger-welcome-to-guardian-membership"
0 ,"http://mementoweb.org/timemap/link/http://www.brainpickings.org/2014/09/10/100-ideas-that-changed-the-web/?utm_content=bufferbb2e0&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer"
0 ,"http://mementoweb.org/timemap/link/https://www.yahoo.com/tech/how-apples-jony-ive-became-the-worlds-most-important-97137570699.html?src=rss"
0 ,"http://mementoweb.org/timemap/link/http://velocityconf.com/velocityny2014/public/schedule/detail/38106?cmp=tw-velocity-confsched-info-vlny14_sessions"
0 ,"http://mementoweb.org/timemap/link/http://cafodpolicy.wordpress.com/2014/09/10/welcome-to-the-data-revolution-group-but-driven-by-people/"
0 ,"http://mementoweb.org/timemap/link/http://radar.oreilly.com/2014/09/one-man-willingly-gave-google-his-data-see-what-happened-next.html"
52 ,"http://mementoweb.org/timemap/link/http://qpdf.sourceforge.net"
3 ,"http://mementoweb.org/timemap/link/https://medium.com/@matthewstoller/5-reasons-for-the-zephyr-teachout-phenomenon-and-5-reasons-andrew-cuomo-will-still-be-governor-8eeb3fc1ec22"
